Katerangan,bobot
ut2Lag7.to.1layhid7,-2.898645e-01
ut2Lag8.to.1layhid7,-3.758732e+00
ut2Lag10.to.1layhid7,1.420385e+00
ut2Lag11.to.1layhid7,1.100548e-01
ut2Lag18.to.1layhid7,-1.022977e+00

Intercept.to.1layhid8,-7.060227e-01
rt2Lag1.to.1layhid8,-2.666806e-01
rt2Lag2.to.1layhid8,-1.593107e+00
rt2Lag3.to.1layhid8,-4.914678e-01
rt2Lag4.to.1layhid8,1.210324e-01
rt2Lag7.to.1layhid8,6.800038e-01
rt2Lag9.to.1layhid8,-6.177763e-01
rt2Lag10.to.1layhid8,4.308187e+00
ut2Lag1.to.1layhid8,1.028767e+01
ut2Lag2.to.1layhid8,1.749741e+00
ut2Lag3.to.1layhid8,2.544317e-01
ut2Lag4.to.1layhid8,2.609606e+00
ut2Lag5.to.1layhid8,4.889064e+00
ut2Lag6.to.1layhid8,6.667942e+00
ut2Lag7.to.1layhid8,7.288145e-01
ut2Lag8.to.1layhid8,4.925340e+00
ut2Lag10.to.1layhid8,6.419484e+00
ut2Lag11.to.1layhid8,5.221954e-01
ut2Lag18.to.1layhid8,1.619521e+00

Intercept.to.1layhid9,2.059953e+00
rt2Lag1.to.1layhid9,-1.753382e+00
rt2Lag2.to.1layhid9,-2.601066e+00
rt2Lag3.to.1layhid9,9.812737e-01
rt2Lag4.to.1layhid9,-1.495058e-01
rt2Lag7.to.1layhid9,-9.724362e-01
rt2Lag9.to.1layhid9,-5.300796e-02
rt2Lag10.to.1layhid9,-1.350008e+00
ut2Lag1.to.1layhid9,-1.472102e+00
ut2Lag2.to.1layhid9,4.168354e-01
ut2Lag3.to.1layhid9,-6.664241e-01
ut2Lag4.to.1layhid9,5.511274e-02
ut2Lag5.to.1layhid9,3.225419e+00
ut2Lag6.to.1layhid9,5.190587e-01
ut2Lag7.to.1layhid9,2.112183e+00
ut2Lag8.to.1layhid9,-1.970588e+00
ut2Lag10.to.1layhid9,-3.818245e-01
ut2Lag11.to.1layhid9,6.921309e-01
ut2Lag18.to.1layhid9,3.230405e+00

Intercept.to.1layhid10,7.014104e-01
rt2Lag1.to.1layhid10,-1.433744e+00
rt2Lag2.to.1layhid10,-4.117585e+00
rt2Lag3.to.1layhid10,9.036639e-01
rt2Lag4.to.1layhid10,-7.049414e-01
rt2Lag7.to.1layhid10,-1.298403e+00
rt2Lag9.to.1layhid10,4.204430e+00
rt2Lag10.to.1layhid10,-2.674689e-01
ut2Lag1.to.1layhid10,-6.216560e-01
ut2Lag2.to.1layhid10,-3.394585e+00
ut2Lag3.to.1layhid10,-8.635010e-01
ut2Lag4.to.1layhid10,7.218015e-01
ut2Lag5.to.1layhid10,4.869211e-01
ut2Lag6.to.1layhid10,8.164614e-01
ut2Lag7.to.1layhid10,1.669049e+00
ut2Lag8.to.1layhid10,5.877392e-01
ut2Lag10.to.1layhid10,7.755958e-02
ut2Lag11.to.1layhid10,5.305557e-01
ut2Lag18.to.1layhid10,-6.464119e-01

Intercept.to.1layhid11,-7.793988e-01
rt2Lag1.to.1layhid11,-9.281847e-01
rt2Lag2.to.1layhid11,1.451831e-01
rt2Lag3.to.1layhid11,1.633968e+00
rt2Lag4.to.1layhid11,4.849923e+00
rt2Lag7.to.1layhid11,1.493319e+00
rt2Lag9.to.1layhid11,1.406691e+00
rt2Lag10.to.1layhid11,5.683684e-01
ut2Lag1.to.1layhid11,7.225788e-01
ut2Lag2.to.1layhid11,-1.386366e+00
ut2Lag3.to.1layhid11,2.092963e+00
ut2Lag4.to.1layhid11,9.623967e-01
ut2Lag5.to.1layhid11,4.759466e-01
ut2Lag6.to.1layhid11,2.135948e+00
ut2Lag7.to.1layhid11,4.597849e-01
ut2Lag8.to.1layhid11,1.305981e+00
ut2Lag10.to.1layhid11,1.615027e-01
ut2Lag11.to.1layhid11,-4.851275e-01
ut2Lag18.to.1layhid11,-5.107054e-02

Intercept.to.1layhid12,-1.169533e+00
rt2Lag1.to.1layhid12,2.719237e+00
rt2Lag2.to.1layhid12,8.469009e-01
rt2Lag3.to.1layhid12,-1.914782e-01
rt2Lag4.to.1layhid12,-5.019325e+00
rt2Lag7.to.1layhid12,-4.685098e+00
rt2Lag9.to.1layhid12,-1.540899e+00
rt2Lag10.to.1layhid12,-1.144384e+01
ut2Lag1.to.1layhid12,-9.065331e+00
ut2Lag2.to.1layhid12,-4.759670e+00
ut2Lag3.to.1layhid12,1.851881e-01
ut2Lag4.to.1layhid12,2.838408e+00
ut2Lag5.to.1layhid12,4.672558e+00
ut2Lag6.to.1layhid12,3.455710e+00
ut2Lag7.to.1layhid12,2.178585e+00
ut2Lag8.to.1layhid12,6.303608e-01
ut2Lag10.to.1layhid12,2.228339e-01
ut2Lag11.to.1layhid12,4.535303e+00
ut2Lag18.to.1layhid12,3.355847e-01

Intercept.to.1layhid13,6.260160e-01
rt2Lag1.to.1layhid13,-6.327090e-01
rt2Lag2.to.1layhid13,8.970417e-01
rt2Lag3.to.1layhid13,6.241799e-01
rt2Lag4.to.1layhid13,1.370190e-01
rt2Lag7.to.1layhid13,9.169078e-01
rt2Lag9.to.1layhid13,1.862048e+00
rt2Lag10.to.1layhid13,-6.621024e-01
ut2Lag1.to.1layhid13,-3.132970e+00
ut2Lag2.to.1layhid13,-1.010448e+00
ut2Lag3.to.1layhid13,-2.393215e+00
ut2Lag4.to.1layhid13,-4.549256e-01
ut2Lag5.to.1layhid13,-2.208688e-01
ut2Lag6.to.1layhid13,1.573586e-01
ut2Lag7.to.1layhid13,-8.482192e-01
ut2Lag8.to.1layhid13,7.467970e-02
ut2Lag10.to.1layhid13,1.491958e-01
ut2Lag11.to.1layhid13,-1.442643e+00
ut2Lag18.to.1layhid13,1.055619e+00

Intercept.to.1layhid14,1.855999e-01
rt2Lag1.to.1layhid14,-5.063493e-01
rt2Lag2.to.1layhid14,1.549072e+01
rt2Lag3.to.1layhid14,6.503872e-01
rt2Lag4.to.1layhid14,8.307280e+00
rt2Lag7.to.1layhid14,1.428856e+00
rt2Lag9.to.1layhid14,1.141872e+01
rt2Lag10.to.1layhid14,-3.128346e+00
ut2Lag1.to.1layhid14,4.420025e-01
ut2Lag2.to.1layhid14,4.850205e+00
ut2Lag3.to.1layhid14,-6.865535e-01
ut2Lag4.to.1layhid14,4.194755e+00
ut2Lag5.to.1layhid14,-5.315220e-01
ut2Lag6.to.1layhid14,1.292299e+00
ut2Lag7.to.1layhid14,5.303700e-01
ut2Lag8.to.1layhid14,9.179285e-02
ut2Lag10.to.1layhid14,-1.743120e+00
ut2Lag11.to.1layhid14,2.677272e+00
ut2Lag18.to.1layhid14,-8.570555e-01

Intercept.to.1layhid15,3.740085e-01
rt2Lag1.to.1layhid15,-3.491334e+00
