"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Perubahan%"
"24/02/2020","9,580","9,580","9,580","9,580","0,21%"
"21/02/2020","9,560","9,560","9,560","9,560","0,00%"
"20/02/2020","9,560","9,560","9,560","9,560","0,10%"
"19/02/2020","9,550","9,550","9,550","9,550","0,00%"
"18/02/2020","9,550","9,550","9,550","9,550","0,00%"
"17/02/2020","9,550","9,550","9,550","9,550","0,00%"
"14/02/2020","9,550","9,550","9,550","9,550","0,00%"
"13/02/2020","9,550","9,550","9,550","9,550","0,10%"
"12/02/2020","9,540","9,540","9,540","9,540","-0,10%"
"11/02/2020","9,550","9,550","9,550","9,550","0,00%"
"10/02/2020","9,550","9,550","9,550","9,550","-0,21%"
"07/02/2020","9,570","9,570","9,570","9,570","0,10%"
"06/02/2020","9,560","9,560","9,560","9,560","0,00%"
"05/02/2020","9,560","9,560","9,560","9,560","-0,10%"
"04/02/2020","9,570","9,570","9,570","9,570","0,10%"
"03/02/2020","9,560","9,560","9,560","9,560","0,00%"
"31/01/2020","9,560","9,560","9,560","9,560","0,10%"
"30/01/2020","9,550","9,550","9,550","9,550","0,10%"
"29/01/2020","9,540","9,540","9,540","9,540","0,10%"
"28/01/2020","9,530","9,530","9,530","9,530","0,11%"
"27/01/2020","9,520","9,520","9,520","9,520","0,00%"
"24/01/2020","9,520","9,520","9,520","9,520","0,11%"
"23/01/2020","9,510","9,510","9,510","9,510","0,00%"
"22/01/2020","9,510","9,510","9,510","9,510","0,11%"
"21/01/2020","9,500","9,500","9,500","9,500","0,00%"
"20/01/2020","9,500","9,500","9,500","9,500","0,11%"
"17/01/2020","9,490","9,490","9,490","9,490","0,00%"
"16/01/2020","9,490","9,490","9,490","9,490","0,11%"
"15/01/2020","9,480","9,480","9,480","9,480","0,11%"
"14/01/2020","9,470","9,470","9,470","9,470","0,11%"
"13/01/2020","9,460","9,460","9,460","9,460","0,11%"
"10/01/2020","9,450","9,450","9,450","9,450","0,11%"
"09/01/2020","9,440","9,440","9,440","9,440","-0,32%"
"08/01/2020","9,470","9,470","9,470","9,470","0,00%"
"07/01/2020","9,470","9,470","9,470","9,470","0,00%"
"06/01/2020","9,470","9,470","9,470","9,470","0,00%"
"03/01/2020","9,470","9,470","9,470","9,470","0,00%"
"02/01/2020","9,470","9,470","9,470","9,470","0,11%"
"31/12/2019","9,460","9,460","9,460","9,460","-0,11%"
"30/12/2019","9,470","9,470","9,470","9,470","0,11%"
"27/12/2019","9,460","9,460","9,460","9,460","0,00%"
"26/12/2019","9,460","9,460","9,460","9,460","0,11%"
"24/12/2019","9,450","9,450","9,450","9,450","0,00%"
"23/12/2019","9,450","9,450","9,450","9,450","0,00%"
"20/12/2019","9,450","9,450","9,450","9,450","0,00%"
"19/12/2019","9,450","9,450","9,450","9,450","0,11%"
"18/12/2019","9,440","9,440","9,440","9,440","-0,11%"
"17/12/2019","9,450","9,450","9,450","9,450","0,11%"
"16/12/2019","9,440","9,440","9,440","9,440","0,00%"
"13/12/2019","9,440","9,440","9,440","9,440","0,00%"
"12/12/2019","9,440","9,440","9,440","9,440","0,00%"
"11/12/2019","9,440","9,440","9,440","9,440","0,11%"
"10/12/2019","9,430","9,430","9,430","9,430","0,00%"
"09/12/2019","9,430","9,430","9,430","9,430","-0,21%"
"06/12/2019","9,450","9,450","9,450","9,450","0,00%"
"05/12/2019","9,450","9,450","9,450","9,450","0,00%"
"04/12/2019","9,450","9,450","9,450","9,450","0,00%"
"03/12/2019","9,450","9,450","9,450","9,450","0,11%"
"02/12/2019","9,440","9,440","9,440","9,440","-0,21%"
"29/11/2019","9,460","9,460","9,460","9,460","0,00%"
"28/11/2019","9,460","9,460","9,460","9,460","0,00%"
"27/11/2019","9,460","9,460","9,460","9,460","0,00%"
"26/11/2019","9,460","9,460","9,460","9,460","0,11%"
"25/11/2019","9,450","9,450","9,450","9,450","0,00%"
"22/11/2019","9,450","9,450","9,450","9,450","0,11%"
"21/11/2019","9,440","9,440","9,440","9,440","-0,11%"
"20/11/2019","9,450","9,450","9,450","9,450","0,11%"
"19/11/2019","9,440","9,440","9,440","9,440","0,00%"
"18/11/2019","9,440","9,440","9,440","9,440","0,11%"
"15/11/2019","9,430","9,430","9,430","9,430","0,00%"
"14/11/2019","9,430","9,430","9,430","9,430","0,00%"
"13/11/2019","9,430","9,430","9,430","9,430","0,00%"
"12/11/2019","9,430","9,430","9,430","9,430","0,11%"
"11/11/2019","9,420","9,420","9,420","9,420","0,11%"
"08/11/2019","9,410","9,410","9,410","9,410","-0,42%"
"07/11/2019","9,450","9,450","9,450","9,450","-0,21%"
"06/11/2019","9,470","9,470","9,470","9,470","0,11%"
"05/11/2019","9,460","9,460","9,460","9,460","-0,11%"
"04/11/2019","9,470","9,470","9,470","9,470","-0,11%"
"01/11/2019","9,480","9,480","9,480","9,480","0,00%"
"31/10/2019","9,480","9,480","9,480","9,480","0,11%"
"30/10/2019","9,470","9,470","9,470","9,470","0,11%"
"29/10/2019","9,460","9,460","9,460","9,460","0,11%"
"28/10/2019","9,450","9,450","9,450","9,450","-0,11%"
"25/10/2019","9,460","9,460","9,460","9,460","0,00%"
"24/10/2019","9,460","9,460","9,460","9,460","0,00%"
"23/10/2019","9,460","9,460","9,460","9,460","0,00%"
"22/10/2019","9,460","9,460","9,460","9,460","0,00%"
"21/10/2019","9,460","9,460","9,460","9,460","-0,11%"
"18/10/2019","9,470","9,470","9,470","9,470","0,11%"
"17/10/2019","9,460","9,460","9,460","9,460","0,00%"
"16/10/2019","9,460","9,460","9,460","9,460","0,00%"
"15/10/2019","9,460","9,460","9,460","9,460","0,00%"
"14/10/2019","9,460","9,460","9,460","9,460","0,00%"
"11/10/2019","9,460","9,460","9,460","9,460","0,00%"
"10/10/2019","9,460","9,460","9,460","9,460","-0,11%"
"09/10/2019","9,470","9,470","9,470","9,470","-0,11%"
"08/10/2019","9,480","9,480","9,480","9,480","-0,32%"
"07/10/2019","9,510","9,510","9,510","9,510","0,00%"
"04/10/2019","9,510","9,510","9,510","9,510","0,21%"
"03/10/2019","9,490","9,490","9,490","9,490","0,00%"
"02/10/2019","9,490","9,490","9,490","9,490","0,00%"
"01/10/2019","9,490","9,490","9,490","9,490","0,00%"
"30/09/2019","9,490","9,490","9,490","9,490","-0,11%"
"27/09/2019","9,500","9,500","9,500","9,500","0,00%"
"26/09/2019","9,500","9,500","9,500","9,500","0,00%"
"25/09/2019","9,500","9,500","9,500","9,500","-0,21%"
"24/09/2019","9,520","9,520","9,520","9,520","0,11%"
"23/09/2019","9,510","9,510","9,510","9,510","0,00%"
"20/09/2019","9,510","9,510","9,510","9,510","0,11%"
"19/09/2019","9,500","9,500","9,500","9,500","0,00%"
"18/09/2019","9,500","9,500","9,500","9,500","0,00%"
"17/09/2019","9,500","9,500","9,500","9,500","0,11%"
"16/09/2019","9,490","9,490","9,490","9,490","-0,21%"
"13/09/2019","9,510","9,510","9,510","9,510","-0,21%"
"12/09/2019","9,530","9,530","9,530","9,530","0,00%"
"11/09/2019","9,530","9,530","9,530","9,530","-0,10%"
"10/09/2019","9,540","9,540","9,540","9,540","-0,10%"
"09/09/2019","9,550","9,550","9,550","9,550","-0,31%"
"06/09/2019","9,580","9,580","9,580","9,580","-0,10%"
"05/09/2019","9,590","9,590","9,590","9,590","-0,10%"
"04/09/2019","9,600","9,600","9,600","9,600","0,10%"
"03/09/2019","9,590","9,590","9,590","9,590","0,10%"
"02/09/2019","9,580","9,580","9,580","9,580","0,00%"
"30/08/2019","9,580","9,580","9,580","9,580","0,00%"
"29/08/2019","9,580","9,580","9,580","9,580","0,10%"
"28/08/2019","9,570","9,570","9,570","9,570","0,21%"
"27/08/2019","9,550","9,550","9,550","9,550","0,10%"
"26/08/2019","9,540","9,540","9,540","9,540","0,10%"
"23/08/2019","9,530","9,530","9,530","9,530","0,11%"
"22/08/2019","9,520","9,520","9,520","9,520","0,00%"
"21/08/2019","9,520","9,520","9,520","9,520","0,11%"
"20/08/2019","9,510","9,510","9,510","9,510","0,11%"
"19/08/2019","9,500","9,500","9,500","9,500","0,00%"
"16/08/2019","9,500","9,500","9,500","9,500","0,00%"
"15/08/2019","9,500","9,500","9,500","9,500","0,32%"
"14/08/2019","9,470","9,470","9,470","9,470","0,32%"
"13/08/2019","9,440","9,440","9,440","9,440","0,00%"
"12/08/2019","9,440","9,440","9,440","9,440","0,11%"
"09/08/2019","9,430","9,430","9,430","9,430","0,11%"
"08/08/2019","9,420","9,420","9,420","9,420","-0,32%"
"07/08/2019","9,450","9,450","9,450","9,450","0,21%"
"06/08/2019","9,430","9,430","9,430","9,430","0,00%"
"05/08/2019","9,430","9,430","9,430","9,430","0,00%"
"02/08/2019","9,430","9,430","9,430","9,430","0,21%"
"01/08/2019","9,410","9,410","9,410","9,410","0,00%"
"31/07/2019","9,410","9,410","9,410","9,410","0,00%"
"30/07/2019","9,410","9,410","9,410","9,410","0,00%"
"29/07/2019","9,410","9,410","9,410","9,410","0,11%"
"26/07/2019","9,400","9,400","9,400","9,400","0,00%"
"25/07/2019","9,400","9,400","9,400","9,400","0,11%"
"24/07/2019","9,390","9,390","9,390","9,390","0,11%"
"23/07/2019","9,380","9,380","9,380","9,380","0,00%"
"22/07/2019","9,380","9,380","9,380","9,380","0,00%"
"19/07/2019","9,380","9,380","9,380","9,380","0,00%"
"18/07/2019","9,380","9,380","9,380","9,380","0,11%"
"17/07/2019","9,370","9,370","9,370","9,370","0,11%"
"16/07/2019","9,360","9,360","9,360","9,360","0,21%"
"15/07/2019","9,340","9,340","9,340","9,340","0,11%"
"12/07/2019","9,330","9,330","9,330","9,330","0,00%"
"11/07/2019","9,330","9,330","9,330","9,330","0,11%"
"10/07/2019","9,320","9,320","9,320","9,320","0,00%"
"09/07/2019","9,320","9,320","9,320","9,320","-0,11%"
"08/07/2019","9,330","9,330","9,330","9,330","-0,43%"
"05/07/2019","9,370","9,370","9,370","9,370","0,00%"
"04/07/2019","9,370","9,370","9,370","9,370","0,00%"
"03/07/2019","9,370","9,370","9,370","9,370","0,21%"
"02/07/2019","9,350","9,350","9,350","9,350","0,11%"
"01/07/2019","9,340","9,340","9,340","9,340","0,11%"
"28/06/2019","9,330","9,330","9,330","9,330","0,11%"
"27/06/2019","9,320","9,320","9,320","9,320","0,54%"
"26/06/2019","9,270","9,270","9,270","9,270","-0,43%"
"25/06/2019","9,310","9,310","9,310","9,310","0,11%"
"24/06/2019","9,300","9,300","9,300","9,300","0,00%"
"21/06/2019","9,300","9,300","9,300","9,300","0,00%"
"20/06/2019","9,300","9,300","9,300","9,300","0,32%"
"19/06/2019","9,270","9,270","9,270","9,270","0,11%"
"18/06/2019","9,260","9,260","9,260","9,260","0,11%"
"17/06/2019","9,250","9,250","9,250","9,250","0,00%"
"14/06/2019","9,250","9,250","9,250","9,250","0,11%"
"13/06/2019","9,240","9,240","9,240","9,240","0,00%"
"12/06/2019","9,240","9,240","9,240","9,240","0,11%"
"11/06/2019","9,230","9,230","9,230","9,230","0,00%"
"10/06/2019","9,230","9,230","9,230","9,230","-0,32%"
"07/06/2019","9,260","9,260","9,260","9,260","0,11%"
"06/06/2019","9,250","9,250","9,250","9,250","0,11%"
"05/06/2019","9,240","9,240","9,240","9,240","0,65%"
"04/06/2019","9,180","9,180","9,180","9,180","-0,43%"
"03/06/2019","9,220","9,220","9,220","9,220","0,11%"
"31/05/2019","9,210","9,210","9,210","9,210","0,11%"
"30/05/2019","9,200","9,200","9,200","9,200","0,00%"
"29/05/2019","9,200","9,200","9,200","9,200","0,11%"
"28/05/2019","9,190","9,190","9,190","9,190","0,11%"
"27/05/2019","9,180","9,180","9,180","9,180","-0,11%"
"24/05/2019","9,190","9,190","9,190","9,190","0,11%"
"23/05/2019","9,180","9,180","9,180","9,180","0,11%"
"22/05/2019","9,170","9,170","9,170","9,170","0,11%"
"21/05/2019","9,160","9,160","9,160","9,160","0,00%"
"20/05/2019","9,160","9,160","9,160","9,160","0,00%"
"17/05/2019","9,160","9,160","9,160","9,160","0,00%"
"16/05/2019","9,160","9,160","9,160","9,160","0,00%"
"15/05/2019","9,160","9,160","9,160","9,160","0,00%"
"14/05/2019","9,160","9,160","9,160","9,160","0,00%"
"13/05/2019","9,160","9,160","9,160","9,160","0,00%"
"10/05/2019","9,160","9,160","9,160","9,160","0,00%"
"09/05/2019","9,160","9,160","9,160","9,160","0,00%"
"08/05/2019","9,160","9,160","9,160","9,160","-0,43%"
"07/05/2019","9,200","9,200","9,200","9,200","0,11%"
"06/05/2019","9,190","9,190","9,190","9,190","0,00%"
"03/05/2019","9,190","9,190","9,190","9,190","0,00%"
"02/05/2019","9,190","9,190","9,190","9,190","0,00%"
"01/05/2019","9,190","9,190","9,190","9,190","0,11%"
"30/04/2019","9,180","9,180","9,180","9,180","0,11%"
"29/04/2019","9,170","9,170","9,170","9,170","0,11%"
"26/04/2019","9,160","9,160","9,160","9,160","0,00%"
"25/04/2019","9,160","9,160","9,160","9,160","0,00%"
"24/04/2019","9,160","9,160","9,160","9,160","0,11%"
"23/04/2019","9,150","9,150","9,150","9,150","0,00%"
"22/04/2019","9,150","9,150","9,150","9,150","0,11%"
"18/04/2019","9,140","9,140","9,140","9,140","0,00%"
"17/04/2019","9,140","9,140","9,140","9,140","0,00%"
"16/04/2019","9,140","9,140","9,140","9,140","-0,11%"
"15/04/2019","9,150","9,150","9,150","9,150","0,11%"
"12/04/2019","9,140","9,140","9,140","9,140","-0,11%"
"11/04/2019","9,150","9,150","9,150","9,150","-0,11%"
"10/04/2019","9,160","9,160","9,160","9,160","0,00%"
"09/04/2019","9,160","9,160","9,160","9,160","0,11%"
"08/04/2019","9,150","9,150","9,150","9,150","-0,22%"
"05/04/2019","9,170","9,170","9,170","9,170","0,00%"
"04/04/2019","9,170","9,170","9,170","9,170","0,11%"
"03/04/2019","9,160","9,160","9,160","9,160","0,00%"
"02/04/2019","9,160","9,160","9,160","9,160","0,00%"
"01/04/2019","9,160","9,160","9,160","9,160","0,00%"
"29/03/2019","9,160","9,160","9,160","9,160","0,00%"
"28/03/2019","9,160","9,160","9,160","9,160","0,00%"
"27/03/2019","9,160","9,160","9,160","9,160","0,11%"
"25/03/2019","9,150","9,150","9,150","9,150","0,11%"
"22/03/2019","9,140","9,140","9,140","9,140","0,11%"
"21/03/2019","9,130","9,130","9,130","9,130","0,33%"
"20/03/2019","9,100","9,100","9,100","9,100","0,11%"
"19/03/2019","9,090","9,090","9,090","9,090","0,11%"
"18/03/2019","9,080","9,080","9,080","9,080","0,11%"
"15/03/2019","9,070","9,070","9,070","9,070","0,22%"
"14/03/2019","9,050","9,050","9,050","9,050","0,00%"
"13/03/2019","9,050","9,050","9,050","9,050","0,00%"
"12/03/2019","9,050","9,050","9,050","9,050","0,22%"
"11/03/2019","9,030","9,030","9,030","9,030","0,11%"
"08/03/2019","9,020","9,020","9,020","9,020","-0,44%"
"07/03/2019","9,060","9,060","9,060","9,060","0,00%"
"06/03/2019","9,060","9,060","9,060","9,060","0,00%"
"05/03/2019","9,060","9,060","9,060","9,060","0,00%"
"04/03/2019","9,060","9,060","9,060","9,060","0,11%"
"01/03/2019","9,050","9,050","9,050","9,050","-0,11%"
"28/02/2019","9,060","9,060","9,060","9,060","0,00%"
"27/02/2019","9,060","9,060","9,060","9,060","0,11%"
"26/02/2019","9,050","9,050","9,050","9,050","0,00%"
"25/02/2019","9,050","9,050","9,050","9,050","0,22%"
"22/02/2019","9,030","9,030","9,030","9,030","0,00%"
"21/02/2019","9,030","9,030","9,030","9,030","0,00%"
"20/02/2019","9,030","9,030","9,030","9,030","0,00%"
"19/02/2019","9,030","9,030","9,030","9,030","0,11%"
"18/02/2019","9,020","9,020","9,020","9,020","0,00%"
"15/02/2019","9,020","9,020","9,020","9,020","0,00%"
"14/02/2019","9,020","9,020","9,020","9,020","0,11%"
"13/02/2019","9,010","9,010","9,010","9,010","0,11%"
"12/02/2019","9,000","9,000","9,000","9,000","0,00%"
"11/02/2019","9,000","9,000","9,000","9,000","0,00%"
"08/02/2019","9,000","9,000","9,000","9,000","-0,33%"
"07/02/2019","9,030","9,030","9,030","9,030","0,00%"
"06/02/2019","9,030","9,030","9,030","9,030","0,11%"
"05/02/2019","9,020","9,020","9,020","9,020","0,11%"
"04/02/2019","9,010","9,010","9,010","9,010","-0,11%"
"01/02/2019","9,020","9,020","9,020","9,020","0,22%"
"31/01/2019","9,000","9,000","9,000","9,000","0,33%"
"30/01/2019","8,970","8,970","8,970","8,970","0,11%"
"29/01/2019","8,960","8,960","8,960","8,960","0,00%"
"28/01/2019","8,960","8,960","8,960","8,960","0,00%"
"25/01/2019","8,960","8,960","8,960","8,960","0,00%"
"24/01/2019","8,960","8,960","8,960","8,960","0,22%"
"23/01/2019","8,940","8,940","8,940","8,940","0,11%"
"22/01/2019","8,930","8,930","8,930","8,930","0,00%"
"21/01/2019","8,930","8,930","8,930","8,930","0,11%"
"18/01/2019","8,920","8,920","8,920","8,920","0,00%"
"17/01/2019","8,920","8,920","8,920","8,920","0,00%"
"16/01/2019","8,920","8,920","8,920","8,920","0,22%"
"15/01/2019","8,900","8,900","8,900","8,900","-0,11%"
"14/01/2019","8,910","8,910","8,910","8,910","0,11%"
"11/01/2019","8,900","8,900","8,900","8,900","0,00%"
"10/01/2019","8,900","8,900","8,900","8,900","0,00%"
"09/01/2019","8,900","8,900","8,900","8,900","-0,22%"
"08/01/2019","8,920","8,920","8,920","8,920","0,00%"
"07/01/2019","8,920","8,920","8,920","8,920","0,11%"
"04/01/2019","8,910","8,910","8,910","8,910","0,00%"
"03/01/2019","8,910","8,910","8,910","8,910","0,11%"
"02/01/2019","8,900","8,900","8,900","8,900","0,00%"
"31/12/2018","8,900","8,900","8,900","8,900","0,11%"
"28/12/2018","8,890","8,890","8,890","8,890","0,11%"
"27/12/2018","8,880","8,880","8,880","8,880","0,00%"
"26/12/2018","8,880","8,880","8,880","8,880","-0,11%"
"24/12/2018","8,890","8,890","8,890","8,890","0,11%"
"21/12/2018","8,880","8,880","8,880","8,880","0,00%"
"20/12/2018","8,880","8,880","8,880","8,880","-0,11%"
"19/12/2018","8,890","8,890","8,890","8,890","0,11%"
"18/12/2018","8,880","8,880","8,880","8,880","0,11%"
"17/12/2018","8,870","8,870","8,870","8,870","0,11%"
"14/12/2018","8,860","8,860","8,860","8,860","0,00%"
"13/12/2018","8,860","8,860","8,860","8,860","0,23%"
"12/12/2018","8,840","8,840","8,840","8,840","0,00%"
"11/12/2018","8,840","8,840","8,840","8,840","0,00%"
"10/12/2018","8,840","8,840","8,840","8,840","-0,45%"
"07/12/2018","8,880","8,880","8,880","8,880","0,11%"
"06/12/2018","8,870","8,870","8,870","8,870","-0,11%"
"05/12/2018","8,880","8,880","8,880","8,880","0,00%"
"04/12/2018","8,880","8,880","8,880","8,880","0,11%"
"03/12/2018","8,870","8,870","8,870","8,870","0,23%"
"30/11/2018","8,850","8,850","8,850","8,850","0,11%"
"29/11/2018","8,840","8,840","8,840","8,840","-0,11%"
"28/11/2018","8,850","8,850","8,850","8,850","0,00%"
"27/11/2018","8,850","8,850","8,850","8,850","0,00%"
"26/11/2018","8,850","8,850","8,850","8,850","-0,11%"
"23/11/2018","8,860","8,860","8,860","8,860","0,00%"
"22/11/2018","8,860","8,860","8,860","8,860","0,11%"
"21/11/2018","8,850","8,850","8,850","8,850","-0,11%"
