Keterangan,bobot
rt2Lag1.to.1layhid17,7.486119e-01
rt2Lag2.to.1layhid17,1.073013e+00
rt2Lag3.to.1layhid17,3.576300e+00
rt2Lag4.to.1layhid17,-3.888384e-01
rt2Lag7.to.1layhid17,2.648586e+00
rt2Lag9.to.1layhid17,-5.828805e+00
rt2Lag10.to.1layhid17,-2.479381e-01
Intercept.to.1layhid18,-3.235325e+00
rt2Lag1.to.1layhid18,-2.835852e+00
rt2Lag2.to.1layhid18,1.252328e+01
rt2Lag3.to.1layhid18,-3.116213e+00
rt2Lag4.to.1layhid18,3.367824e-01
rt2Lag7.to.1layhid18,8.666035e+00
rt2Lag9.to.1layhid18,1.296389e+01
rt2Lag10.to.1layhid18,2.328713e+00
Intercept.to.1layhid19,2.306663e+00
rt2Lag1.to.1layhid19,2.809086e+00
rt2Lag2.to.1layhid19,-4.158752e-02
rt2Lag3.to.1layhid19,-2.826899e-01
rt2Lag4.to.1layhid19,-1.470805e+00
rt2Lag7.to.1layhid19,-5.595672e-02
rt2Lag9.to.1layhid19,-1.178620e+00
rt2Lag10.to.1layhid19,-3.799778e-01
Intercept.to.t1layhid20,1.866655e+00
rt2Lag1.to.t1layhid20,-2.974116e+00
rt2Lag2.to.t1layhid20,-2.974116e+00
rt2Lag3.to.t1layhid20,6.541276e-01
rt2Lag4.to.t1layhid20,-1.421266e-01
rt2Lag7.to.t1layhid20,-9.522935e+00
rt2Lag9.to.t1layhid20,-1.064334e+01
rt2Lag10.to.t1layhid20,-5.034485e+00
Intercept.to.y,-8.965433e-01
1layhid1.to.y,-7.035540e+00
1layhid2.to.y,-3.159265e+00
1layhid3.to.y,-6.823938e+00
1layhid4.to.y,1.643567e+01
1layhid5.to.y,-2.016418e+01
1layhid6.to.y,9.456037e+00
1layhid7.to.y,-2.619889e+01
1layhid8.to.y,-9.895840e-01
1layhid9.to.y,2.248185e+00
1layhid10.to.y,2.739308e+00
1layhid11.to.y,3.661320e-02
1layhid12.to.y,-2.032804e+00
1layhid13.to.y,-3.038537e+00
1layhid14.to.y,5.822407e+00
1layhid15.to.y,-3.898695e+00
1layhid16.to.y,-1.240556e+00
1layhid17.to.y,2.965629e+00
1layhid18.to.y,1.864823e+00
1layhid19.to.y,4.110699e-01
1layhid20.to.y,-7.004833e+00
